0fb244c8;611d2586;Meimon! Takonishi Ouendan< - Kouha 6 Nin Shuu> (Bad PRG);65;0;8;16;JB;Asmik
0fc72a80;84d51076;Peter Pan & The Pirates;16;0;8;16;U;T*HQ
0fc8e9b7;68e8a520;North & South;64;0;8;16;J;Kemco
0fcfc04d;0fcfc04d;Mega Man 2;16;0;16;0;U;Capcom
0fd6bfc8;567dccbd;Western Kids;64;0;16;32;J;Visco
0fe4fc74;4b647c55;Terminator 2< - Judgement Day>;65;0;8;16;U;LJN
0fec90d2;0fec90d2;Section Z;33;0;8;0;U;Capcom
0ff6a3b5;ad28aef6;Dynamite Batman;80;64;8;32;J;Sunsoft
0ffde258;3d96a1d8;Fantasy Zone;64;0;4;8;UX;Tengen
10092781;e042a0ef;Robocop 4 (Robocop 3 Pirate);16;0;8;16;UZ
10119e6b;10119e6b;Fantasy Zone;208;80;8;0;J;Sunsoft
10180072;2f928646;Flying Warriors;16;0;8;16;U;Culture Brain
1027c432;1027c432;Momotarou Dentetsu;33;0;16;0;J;Hudson Soft
1028fc27;1028fc27;Sangokushi (Hacked);18;0;16;0;JH;Koei
103e7e7f;90a33263;Willow;16;0;8;16;U;Capcom
1042c1e0;00000000*-1,1;Pinball (Wrong Size);0;0;2;1;JU;Nintendo
1050ca30;cc62d031;Terminator 2< - Judgement Day> (Portuguese);65;0;8;16;T;Emuroms
105d20ea;00000000;Scranton Bros. (SMB1 Hack);1;0;2;1;GH
1066b66d;66b2dec7;SD Gundam - Gachapon Senshi 3< - Eiyuu Senki>;65;0;8;16;J;Bandai
109f1acc;ee875b41;Tiger-Heli (Pirate);48;0;2;4;JZ;Pony Canyon
10b0f8b0;17627d4b;Taito Grand Prix< - Eikou heno License>;1;80;8;16;J;Taito
10baeef3;06093b5e;Son Son;1;0;2;1;J;Capcom
10c8f2fa;96533999;Dokuganryuu Masamune;50;16;8;16;J;Namco
10c9a789;761ccfb5;Digital Devil Story - Megami Tensei 2;51;16;16;32;J;Namco
10d835d4;00000000;Super Cyborg Bros. (SMB1 Hack);1;0;2;1;GH
115703bb;00000000*2,1;Blind Fu (Kung Fu Hack) (Wrong Size 2);1;0;2;2;GH
116ccd44;b3fe1017;Paris-Dakar Rally Special (Bad Dump);33;64;8;4;JB;CBS Sony Group
1192aa4c;02c555b9;Barney Bros. (SMB1 Hack);1;0;2;1;GH
119dacf3;30310df1;Dai Koukai Jidai (Bad Dump);82;0;32;16;JB;Koei
11d08cc6;a695b076;Metal Fighter;177;0;2;4;UX;Color Dreams
12078afd;e5703fc4;Mendel Palace;65;0;8;16;U;Hudson Soft
1208e754;1208e754;Matsumoto Tooru no Kabushiki Hisshou Gaku 2;18;0;16;0;J;Imagineer
12481cc0;3309078f;Mega Man 3 (Prototype);65;0;16;16;U;Proto
1248326d;bf8c1116;Akuma no Shoutaijou;67;0;8;16;J;Kemco
126ebf66;87f699dc;Bugs Bunny Birthday Blowout, The;64;0;8;16;U;Kemco
12748678;fa3bfc11;Days of Thunder;65;0;8;32;U;Mindscape
12906664;749dc135;Castlequest;49;0;2;4;U;Nexoft
12b2c361;12b2c361;Who Framed Roger Rabbit;112;0;8;0;U;LJN
12b57e82;c46f470a;Double Dragon 4 (Pirate Cart);16;0;8;16;Z
12c6d5c7;12c6d5c7;1943;32;0;8;0;U;Capcom
12d2b6b0;00000000;Bikkuri Nekketsu Shin Kiroku!< - Harukanaru Kin Medal> (Pirate);65;0;8;16;JZ;Technos Japan
12e74918;12e74918;Legend of Zelda, The (French v0.95);18;0;8;0;T;TRAF
12ee543e;f1bdcf18;Flipull< - An Exciting Cube Game> (Bad PRG);49;0;2;4;JB;Taito
12f048df;0091afbe;Jajamaru Ninpou Chou (Alt);177;64;8;16;J;Jaleco
1300a8b7;e8b7c767;<Pro Yakyuu - >Family Stadium '87;65;0;4;4;J;Namco
1306ee62;3886bcf7;Aladdin;0;160;16;32;O
131a18cb;131a18cb;Layla;33;0;8;0;J;DB Soft
133199eb;00000000;Super Wheelchair Mario (SMB1 Hack);1;0;2;1;GH
13332bfa;eeb7a62b;Duck Hunt (Pirate);1;0;1;1;JUEZ;Nintendo
1335cb05;630be870;Crystalis;66;0;16;16;U;SNK
1352f1b9;1352f1b9;Greg Norman's Golf Power;18;0;8;0;U;Virgin Games
1353a134;71baecec;Mission Impossible;65;0;8;16;E;Palcom
